modele,RMSE,MAE,MAPE_%
Régression linéaire,27.473116867391823,19.026456154077994,5.258173396047542
Seasonal naive,79.03529744150184,76.68083333333334,22.05136930070814
SARIMA,79.65692651941043,72.70302194582564,21.12786493845252
