date,prix_prevu,bas,haut
2026-04-01,360.8351017543864,313.4459935133676,408.2242099954052
2026-05-01,356.7216807017548,309.332572460736,404.1107889427736
2026-06-01,356.633522807018,309.2444145659992,404.02263104803677
2026-07-01,358.53036491228113,311.14125667126234,405.9194731532999
2026-08-01,357.9798385964917,310.5907303554729,405.36894683751046
2026-09-01,362.31773333333376,314.928625092315,409.70684157435255
2026-10-01,363.6861543859653,316.29704614494653,411.0752626269841
2026-11-01,367.0348385964917,319.6457303554729,414.42394683751047
2026-12-01,361.2914175438601,313.90230930284133,408.6805257848789
2027-01-01,362.98822526315837,315.5991170221396,410.37733350417716
2027-02-01,368.83822526315834,321.44911702213955,416.2273335041771
2027-03-01,368.95072526315835,321.56161702213956,416.33983350417714
