date,indice_prevu,bas,haut,inflation_prevue_pct
2026-04-01,129.421976104682,123.134950394343,135.709001815021,-11.780596351417572
2026-05-01,123.6759574117894,115.73132943166006,131.62058539191872,-9.736999046003858
2026-06-01,123.89093048158178,114.34304517869307,133.43881578447048,-9.441563951242893
2026-07-01,125.87973297316523,115.0261881693656,136.73327777696485,-11.08492149952739
2026-08-01,124.35494687162343,112.31896746214974,136.3909262810971,-11.953591465671742
2026-09-01,125.19274851561713,112.08555689778714,138.2999401334471,-11.82339364525613
2026-10-01,124.97468389014396,110.87601319071847,139.07335458956945,-13.369806052290844
2026-11-01,122.71170848509792,107.68725611590578,137.73616085429006,-13.815384289511123
2026-12-01,118.56256974391981,102.66604107850496,134.45909840933464,-12.207782564334524
2027-01-01,113.44596119750699,96.7228062333486,130.16911616166539,-11.851277735843002
2027-02-01,114.46101818787263,96.95020558170397,131.97183079404127,-11.360140901511762
2027-03-01,112.73434173445798,94.46981068343666,130.9988727854793,-11.817709563267275
